OrganizationName,EducationBoard,ContactNo,Email,Website,StreetAddress,District,Zone,ContactAddress,Courses,HighSchoolCourses,CollegeAndUniCourses,Link,Funding,FacebookLink,GooglePlusLink,TwitterLink,YoutubeLink,OtherLinks
Hilbert International College,HSEB,977-1-4242319,info@hic.edu.np,http://www.hic.edu.np/,Teku       ,Kathmandu,Bagmati," Hilbert International College KITS College of Science & Management Teku, Kathmandu, Nepal. P.O. Box:11989",,,,http://edusanjal.com/college/hilbert-international-college,Private,,,,,
Deerwalk Institute of Technology,Tribhuvan University,977-1-4485424,contact@dwit.edu.np,http://www.dwit.edu.np/,Sifal       ,Kathmandu,Bagmati," Deerwalk Institute of Technology (DWIT) Tamreshwore Mahadevsthan, Jayabageshwori Sifal, Kathmandu, Nepal",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/deerwalk-institute-technology,Private,,,,,
All Nepal College of Technical Education,CTEVT,"977-4811999, 4811030",info@allnepal.edu.np,http://www.allnepal.edu.np/,Chabhil       ,Kathmandu,Bagmati," All Nepal College of Technical Education Saraswotinagar-6, Chabhil, Kathmandu (Opposite Bimisamiti)","Diploma in Pharmacy ; 40;,Health Assistant (HA) ; 40;,Veterinary JTA ; 40;,JTA-Plant Science ; 40;",,"Diploma in Pharmacy ; 40;,Health Assistant (HA) ; 40;,Veterinary JTA ; 40;,JTA-Plant Science ; 40;",http://edusanjal.com/college/all-nepal-college-technical-education,Private,,,,,
Neplese Army Institute of Health Sciences (NAIHS) College of Nursing,"CTEVT,Tribhuvan University","4220267, 4231042",con@naihs.edu.np,http://www.naihs.edu.np/,"TCMH complex, Mahankalsthan       ",Kathmandu,Bagmati,"TCMH complex, Mahankalsthan  Kathmandu   Bagmati","PCL Nursing ; 40;,Bachelor of Nursing (BN) ; 40;,B.Sc Nursing ; 30;",,"PCL Nursing ; 40;,Bachelor of Nursing (BN) ; 40;,B.Sc Nursing ; 30;",http://edusanjal.com/college/naihs-college-nursing,Private,,,,,
Academia International College,Tribhuvan University,"977-1-5525393, 5543037",mail@academiacollege.edu.np,http://www.academiacollege.edu.np/,Gwarko Chowk       ,Lalitpur,Bagmati,Gwarko Chowk  Lalitpur   Bagmati,B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/academia-international-college,Private,,,,,
Matrix College,Tribhuvan University,977-51-521097,admission@matrix.edu.np,http://matrix.edu.np/,"Shreepur, Birgunj       ",Parsa,Narayani," Matrix College Om Ashram, Shreepur, Birgunj",Bachelor of Pharmacy,,Bachelor of Pharmacy,http://edusanjal.com/college/matrix-college,Private,,,,,
Viswa Niketan Science Campus,Tribhuvan University,977-1-4350270,info@nneapt.com,http://www.nneapt.edu.np/,"Banasthali Chowk, Balaju       ",Kathmandu,Bagmati," Viswa Niketan Science Campus Nepal National Education Academy (N-NEA) Banasthali Chowk, Balaju Kathmandu, Nepal",Bachelor of Science (B.Sc) in Environmental Science,,Bachelor of Science (B.Sc) in Environmental Science,http://edusanjal.com/college/viswa-niketan-science-campus,Private,,,,,
Sagarmatha College for Higher Studies,Tribhuvan University,977-1-4433810,admin@smcollege.edu.np,http://www.smcollege.edu.np/schs/,Dillibazar       ,Kathmandu,Bagmati," Sagarmatha College for Higher Studies GPO Box: 19363 Dillibazar, Kathmandu","Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",,"Bachelor of Arts-BA,Bachelor of Business Studies (BBS),Bachelor of Social Works (BSW)",http://edusanjal.com/college/sagarmatha-college-higher-studies,Private,,,,,
National Model College for Advanced Learning,Tribhuvan University,"977-1-360367, 4360096",,,"Khusibu, Nayabazar       ",Kathmandu,Bagmati," National Model College for Advanced Learning Khusibu, Nayabazar, Kathmandu",Bachelor of Pharmacy,,Bachelor of Pharmacy,http://edusanjal.com/college/national-model-college-advanced-learning,Private,,,,,
DAV Institute of Information Technology,CTEVT,http://www.dioit.edu.np/,,http://www.dioit.edu.np/,Jwalakhel       ,Lalitpur,Bagmati,Jwalakhel  Lalitpur   Bagmati,Diploma in Information Technology,,Diploma in Information Technology,http://edusanjal.com/college/dav-institute-information-technology,Private,,,,,
National College of Engineering,Tribhuvan University,977-1-5526887,info@nce.edu.np,http://www.nce.edu.np/,"Talchikhel, Satdobato       ",Lalitpur,Bagmati," National College of Engineering Talchikhel, Satdobato, Lalitpur","Bachelor of Civil Engineering ; 96;,Bachelor of Electrical Engineering ; 48;,Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 48;",,"Bachelor of Civil Engineering ; 96;,Bachelor of Electrical Engineering ; 48;,Bachelor of Electronics and Communication Engineering ; 48;,Bachelor of Computer Engineering ; 48;",http://edusanjal.com/college/national-college-engineering,Private,,,,,
National College of Technical Sciences,Tribhuvan University,977-1-4350270,info@nneapt.com,http://www.nneapt.edu.np/,"Banasthali Chowk, Balaju       ",Kathmandu,Bagmati," National College of Technical Sciences (NCTS) Nepal National Education Academy (N-NEA) Banasthali Chowk, Balaju Kathmandu, Nepal",Bachelor of Science (B.Sc) in Microbiology,,Bachelor of Science (B.Sc) in Microbiology,http://edusanjal.com/college/national-college-technical-sciences,Private,,,,,
DAV Business School,Purbanchal University,977-1-5534426/5536626,info@davbusinessschool.edu.np,http://www.davbusinessschool.edu.np/,Jwalakhel       ,Lalitpur,Bagmati," DAV Business School Post Box No. 929 Jawalakhel, Lalitpur, Nepal",Master of Business Administration (MBA),,Master of Business Administration (MBA),http://edusanjal.com/college/dav-business-school,Private,,,,,
Chakrabarti Habi Educational Academy (College of Law),Purbanchal University,"977-1-4155146, 4485133",info@chbea.edu.np,http://www.chbea.edu.np/,"Tinkune, Subidhanagar       ",Kathmandu,Bagmati," Chakrabarti Habi Educational Academy (College of Law) Tinkune, Subidhanagar, Kathmandu","Bachelor of Laws (BA LLB),Master of Laws",,"Bachelor of Laws (BA LLB),Master of Laws",http://edusanjal.com/college/chakrabarti-habi-educational-academy-college-law,Private,,,,,
Kadambari Memorial College,Purbanchal University,"977-1-2030346, 4782982",academianssw@gmail.com,http://www.nepalschoolofsocialwork.org/,Shankhamul       ,Kathmandu,Bagmati,Shankhamul  Kathmandu   Bagmati,Master in Social Work (MSW),,Master in Social Work (MSW),http://edusanjal.com/college/kadambari-memorial-college,Private,,,,,
The British College,University of the West of England UK,977-1-4491653,info@thebritishcollege.edu.np,http://thebritishcollege.org.np/,Thapathali       ,Kathmandu,Bagmati," The British College Information Centre Kamalpokhari Chowk Kathmandu Nepal Main Site: The Trade Tower Thapathali, Kathmandu Nepal","Bachelor in Business Administration (BBA),Master in International Management,ACCA/FIA Program",,"Bachelor in Business Administration (BBA),Master in International Management,ACCA/FIA Program",http://edusanjal.com/college/british-college,Private,,,,,
Seti Mahakali nursing campus,CTEVT,977-99-523719,smnursing@hotmail.com,,        ,Kanchanpur,Mahakali,Kanchanpur  Kanchanpur   Mahakali,PCL Nursing ; 40; ; 396360;,,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/seti-mahakali-nursing-campus,Private,,,,,
Asian School of Management,Tribhuvan University,"977-1-4388647, 4354887",info@asm.edu.np,http://www.asm.edu.np/,Samakhusi Bridge       ,Kathmandu,Bagmati," Asian School of Management Atlantic Education Network Samakhusi Bridge, Kathmandu","Bachelor of Information Management (BIM) ; 64;,B.Sc. Computer Science And Information Technology (B.SC. CSIT)",,"Bachelor of Information Management (BIM) ; 64;,B.Sc. Computer Science And Information Technology (B.SC. CSIT)",http://edusanjal.com/college/asian-school-of-management,Private,,,,,
NAIHS College of Medicine,Tribhuvan University,977-1-4881259,com@naihs.edu.np,http://www.naihs.edu.np/,"Bhandarkhal, Sanobharyang       ",Kathmandu,Bagmati,"Bhandarkhal, Sanobharyang  Kathmandu   Bagmati","Bachelor of Medicine, Bachelor of Surgery (MBBS) ; 150; ; 3660250;",,"Bachelor of Medicine, Bachelor of Surgery (MBBS) ; 150; ; 3660250;",http://edusanjal.com/college/naihs-college-medicine,Private,,,,,
Ace International Business School,Queen Margaret University (UK),"977-1-4110697, 4110743",aibs@aibs.edu.np,http://www.aibs.ace.edu.np/,"Airport Om Nagar, Sinamangal       ",Kathmandu,Bagmati,"Airport Om Nagar, Sinamangal  Kathmandu   Bagmati","Bachelor of Business Administration-BBA,Master of Business Administration-MBA",,"Bachelor of Business Administration-BBA,Master of Business Administration-MBA",http://edusanjal.com/college/ace-international-business-school,Private,,,,,
Regional College of Science and Technology,"CTEVT,Tribhuvan University",977-61-539184,info@rchst.edu.np,http://rchst.edu.np/,"Nayabazar-9, Pokhara       ",Kaski,Gandaki," Regional College of Science and Technology and Regional college of Health Science and Technology Nayabazar-9, Pokhara","Certificate in Medical Laboratory Technology (CMLT) ; 30;,Certificate in Diagnostic Radiography ; 30;,M.Sc in Microbiology,Bachelor of Science (B.Sc) General,B.Tech. Food Technology",,"Certificate in Medical Laboratory Technology (CMLT) ; 30;,Certificate in Diagnostic Radiography ; 30;,M.Sc in Microbiology,Bachelor of Science (B.Sc) General,B.Tech. Food Technology",http://edusanjal.com/college/regional-college-science-and-technology,Private,,,,,
Bhageshwor Academy for Health Science,CTEVT,"977-91-522033, 520313",contact@bahs.edu.np,http://bahs.edu.np/,"Santoshi Tole-2, Dhangadhi       ",Kailali,Seti,"Santoshi Tole-2, Dhangadhi  Kailali   Seti","Health Assistant (HA) ; 40;,Diploma in Pharmacy ; 40;",,"Health Assistant (HA) ; 40;,Diploma in Pharmacy ; 40;",http://edusanjal.com/college/bhageshwor-academy-health-science,Private,,,,,
Little Angels College of Higher Studies (LACHS),Tribhuvan University,"977-1-5250777, 5250222",info@la.edu.np,,Hattiban       ,Lalitpur,Bagmati,Hattiban  Lalitpur   Bagmati,"Bachelor of Pharmacy,Bachelor of Nursing (BN),Bachelor in Medical Laboratory Technology (BMLT),B.Sc Nursing",,"Bachelor of Pharmacy,Bachelor of Nursing (BN),Bachelor in Medical Laboratory Technology (BMLT),B.Sc Nursing",http://edusanjal.com/college/little-angels-college-higher-studies,Private,,,,,
Siddhartha International College,"HSEB,Tribhuvan University",,,,"Murli Bazar, Birgunj       ",Parsa,Narayani,"Murli Bazar, Birgunj  Parsa   Narayani","Ten Plus Two Management,Ten Plus Two Education,Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)","Ten Plus Two Management,Ten Plus Two Education","Bachelor of Business Studies (BBS),Bachelor of Education (B.Ed)",http://edusanjal.com/college/siddhartha-international-college,Private,,,,,
Takshashila Academy,HSEB,"977-1-4357332, 4354269",info@tsa.edu.np,http://www.tsa.edu.np/,Samakhusi       ,Kathmandu,Bagmati," Takshashila Academy Opposite to Radhaswami Satsang Center Samakhusi, Kathmandu,Nepal","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/takshashila-academy,Private,,,,,
Institute of International Management Science-IIMS College,Lovely Professional University,"977-1-4436084, 4421410",info@iimsnepal.com,http://iimsnepal.com/,Putalisadak       ,Kathmandu,Bagmati," Institute of International Management Science (IIMS College) New Plaza Marg -60, Putalisadak, Kathmandu-32, Nepal P.O. Box: 6721","Bachelor of Business Administration (BBA),Master of Business Administration-MBA",,"Bachelor of Business Administration (BBA),Master of Business Administration-MBA",http://edusanjal.com/college/institute-international-management-science,Private,,,,,
Birat Medical College,Kathmandu University,977 - 21-421063,info@biratmedicalcollege.com,http://biratmedicalcollege.com/,"Tankisinwari, Biratnagar       ",Morang,Koshi,"Tankisinwari, Biratnagar  Morang   Koshi","Bachelor of Medicine, Bachelor of Surgery (MBBS)",,"Bachelor of Medicine, Bachelor of Surgery (MBBS)",http://edusanjal.com/college/birat-medical-college,Private,,,,,
Fishtail Nursing Campus,CTEVT,"061- 5-27553, 5-28999",info@fishtailhospital.com.np,http://fishtailhospital.com.np/,"Dautari Bhawan, Gairapatan,       ",Kaski,Gandaki,"Dautari Bhawan, Gairapatan,  Kaski   Gandaki",PCL Nursing ; 40; ; 396360;,,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/fishtail-nursing-campus,Private,,,,,
Butwal Model College,Pokhara University,071-229465,tulsimehar.college@gmail.com,,"Shankharnagar-8, Yogikuti       ",Rupandehi,Lumbini,"Butwal Model College Shankharnagar-8, Yogikuti, Rupandehi","Master of Population, Gender and Development (MPGD),Bachelor of Business Administration (BBA)",,"Master of Population, Gender and Development (MPGD),Bachelor of Business Administration (BBA)",http://edusanjal.com/college/butwal-model-college,Private,,,,,
Pokhara Technical Health Multipurpose Institute,CTEVT,"977-061-522207, 524944",,,"Gaudako mukha 13, Pokhara       ",Kaski,Gandaki,"Gaudako mukha 13, Pokhara  Kaski   Gandaki","PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;",,"PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;",http://edusanjal.com/college/pokhara-technical-health-multipurpose-institute,Private,,,,,
Fewa City Institute of Medical Science,CTEVT,977-61-525247,,,"Nagdhunga, Pokhara       ",Kaski,Gandaki,"Nagdhunga, Pokhara  Kaski   Gandaki",PCL Nursing ; 40; ; 396360;,,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/fewa-city-institute-medical-science,Private,,,,,
New Summit College,"HSEB,Tribhuvan University","977-1-4495201, 4473919",newsummit@gmail.com,http://www.newsummit.edu.np/,"Old Baneshwor, Peepal Bote       ",Kathmandu,Bagmati,"Old Baneshwor, Peepal Bote  Kathmandu   Bagmati","B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",,"B.Sc. Computer Science And Information Technology (B.SC. CSIT),Bachelor of Business Studies (BBS)",http://edusanjal.com/college/new-summit-college,Private,,,,,
Everest Florida Higher Secondary School,HSEB,977-1-4620522/523,corporate@everestflorida.com,http://everestflorida.com/,Shantinagar Gate-34       ,Kathmandu,Bagmati," Florida Education Network Pvt. Ltd Everest Florida HSS/College Florida Building, Shantinagar Gate-34","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities","Ten Plus Two Science,Ten Plus Two Management,Ten Plus Two Humanities",,http://edusanjal.com/college/everest-florida-higher-secondary-school,Private,,,,,
Charak Hospital Nursing College,"CTEVT,Purbanchal University",061-229244,psrijana2002@yahoo.com,,Pokhara       ,Kaski,Gandaki,Pokhara  Kaski   Gandaki,"PCL Nursing ; 40; ; 396360;,Bachelor of Science (B.Sc) in Nursing ; 20;,Post Basic Bachelor in Nursing (PBBN) ; 40;",,"PCL Nursing ; 40; ; 396360;,Bachelor of Science (B.Sc) in Nursing ; 20;,Post Basic Bachelor in Nursing (PBBN) ; 40;",http://edusanjal.com/college/charak-hospital-nursing-college,Private,,,,,
Kathmandu New Castle Higher Secondary School,HSEB,01-4374168/01-4016530,,,Basundhara       ,Kathmandu,Bagmati," Kathmandu New Castle Higher Secondary School Basundhara, Kathmandu Tel: 4374168, 4016530",,,,http://edusanjal.com/college/kathmandu-new-castle-higher-secondary-school,Private,,,,,
Evergreen Technical Institute of Health Science,CTEVT,051-523914,eti.brinepal@yahoo.com,,Birjung-19       ,Parsa,Narayani,Birjung-19  Parsa   Narayani,PCL Nursing ; 40; ; 396360;,,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/evergreen-technical-institute-health-science,Private,,,,,
Boston Academy for Medical Science,CTEVT,"056-521519, 056-532922",,,"Infront of Airport, Bharatpur       ",Chitwan,Narayani,"Infront of Airport, Bharatpur  Chitwan   Narayani",PCL Nursing ; 40; ; 396360;,,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/boston-academy-for-medical-science,Private,,,,,
Mithila Technical Academy,CTEVT,,,,        ,Dhanusa,Janakpur, Mithila Technical Academy Janakpur,"PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;",,"PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;",http://edusanjal.com/college/mithila-technical-academy,Private,,,,,
Central Engineering College,"CTEVT,Purbanchal University",041-527336,,http://cecjanakpur.com/,"Ramanand Chowk 8,         ",Dhanusa,Janakpur,Nepal Technical InstituteJanakpur,"Diploma in Civil Engineering ; 48;,Diploma in Electrical Engineering ; 48;,Bachelor of Civil Engineering ; 48;,TSLC in Survey Engineering (AMIN)",,"Diploma in Civil Engineering ; 48;,Diploma in Electrical Engineering ; 48;,Bachelor of Civil Engineering ; 48;,TSLC in Survey Engineering (AMIN)",http://edusanjal.com/college/central-engineering-college,Private,,,,,
The Himal Institute of Health Science,CTEVT,"051-532047, 620771",theinstituteofhealthscience@yahoo.com,http://thehimalinstitute.com/,Birgunj       ,Parsa,Narayani," The Himal Institute of Health Science Birgunj Sub-metropolitan City, Birgunj, Parsa, Nepal","Certificate in Diagnostic Radiography ; 30;,PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 277020;",,"Certificate in Diagnostic Radiography ; 30;,PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 277020;",http://edusanjal.com/college/the-himal-institute-of-health-science,Private,,,,,
Dhanusha Aspataal Tatha Anusandhan Kendra,CTEVT,,,,        ,Dhanusa,Janakpur,Dhanusha Aspataal Tatha Anusandhan KendraJanakpur,PCL Nursing ; 40; ; 396360;,,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/dhanusha-aspataal-tatha-anusandhan-kendra,Private,,,,,
Chitwan Health Foundation and Research Center,CTEVT,,,,chitwan       ,Chitwan,Narayani,Chitwan Health Foundation and Research CenterChitwan,PCL Nursing ; 40; ; 396360;,,PCL Nursing ; 40; ; 396360;,http://edusanjal.com/college/chitwan-health-foundation-and-research-center,Private,,,,,
NPI Narayani Samudayik Nursing College,"CTEVT,Purbanchal University",056-524161/056-533133,npinsgcollege10@yahoo.com,,Bharatpur       ,Chitwan,Narayani,Bharatpur  Chitwan   Narayani,"Certificate in Medical Laboratory Technology (CMLT) ; 30;,PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;,Bachelor of Science (B.Sc) in Nursing ; 20;",,"Certificate in Medical Laboratory Technology (CMLT) ; 30;,PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;,Bachelor of Science (B.Sc) in Nursing ; 20;",http://edusanjal.com/college/npi-narayani-samudayik-hospital-ltd,Private,,,,,
National Law College,Tribhuvan University,16923818,,http://nalc.edu.np/,Pulchowk       ,Lalitpur,Bagmati,Pulchowk  Lalitpur   Bagmati,"Bachelor of Arts Bachelor of Laws (BALLB),Master of Laws ; 50;",,"Bachelor of Arts Bachelor of Laws (BALLB),Master of Laws ; 50;",http://edusanjal.com/college/national-law-college,Private,,,,,
Trishuli Medical Institute,CTEVT,,,,Bidur       ,Nuwakot,Bagmati,Bidur  Nuwakot   Bagmati,PCL Nursing ; 40;,,PCL Nursing ; 40;,http://edusanjal.com/college/trishuli-medical-institute,Private,,,,,
Green Tara College of Health Science,CTEVT,"5592644, 6208305",info@greentaracollege.edu.np,http://greentaracollege.edu.np/,Bhaisepati       ,Lalitpur,Bagmati,Bhaisepati  Lalitpur   Bagmati,"PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;,Certificate in Medical Laboratory Technology (CMLT) ; 30;",,"PCL Nursing ; 40; ; 396360;,Health Assistant (HA) ; 40; ; 346923;,Certificate in Medical Laboratory Technology (CMLT) ; 30;",http://edusanjal.com/college/green-tara-college-health-science,Private,,,,,
Soch college of IT,Tribhuvan University,977-61-540120,mail@sochcollege.edu.np,http://www.sochcollege.edu.np/,"Ranipauwa -11, Pokhara       ",Kaski,Gandaki," Soch College of IT Ranipauwa -11 , Pokhara, NEPAL (Behind Dur Sanchar Office)",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/soch-college-it,Private,,,,,
Indreni College,Tribhuvan University,"056-525246, 9845023877",info@indrenicollege.edu.np,http://indrenicollege.edu.np/,"Bharatpur-11,         ",Chitwan,Narayani,"Bharatpur-11, Chitwan  Chitwan   Narayani",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/indreni-college,Private,,,,,
Lumbini ICT College,Tribhuvan University,"056-502188 , 9855063130",infolumbinicollege@gmail.com,,"Gaindakot,         ",Nawalparasi,Lumbini,"Gaindakot, Nawalparasi  Nawalparasi   Lumbini",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/lumbini-ict-college,Private,,,,,
Samajik College,Tribhuvan University,"01-6638497, 9849054204",info@samajikcollege.edu.np,,"Lokanthali,         ",Bhaktapur,Bagmati,"Lokanthali, Bhaktapur  Bhaktapur   Bagmati",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/samajik-college,Private,,,,,
Shree Laligurans Rastriya Higher Secondary School/College,"HSEB,Tribhuvan University","4782414, 4784628",info@laliguranscollege.edu.np,,"New Baneshwor, Shankhamul       ",Kathmandu,Bagmati,"New Baneshwor, Shankhamul  Kathmandu   Bagmati","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science,Bachelor of Business Studies (BBS)","Ten Plus Two Humanities,Ten Plus Two Management,Ten Plus Two Science",Bachelor of Business Studies (BBS),http://edusanjal.com/college/shree-laligurans-rastriya-higher-secondary-schoolcollege,Private,,,,,
Kaasthamandap Vidhyalaya,Cambridge University,1-4374430/4374621,infokv@gmail.com,http://kaasthamandap.edu.np/,"Mahankal, Mandikhatar       ",Kathmandu,Bagmati,"Mahankal, Mandikhatar  Kathmandu   Bagmati","GCE A level Non-Science,GCE A level- Science",,"GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/kaasthamandap-vidhyalaya,Private,,,,,
Gokuleshwor Agriculture and Animal Science College,Tribhuvan University,095690787/9848832539,info@gaasc.edu.np,http://gaasc.edu.np/,         ,Baitadi,Mahakali,Baitadi   Baitadi   Mahakali,Bachelor of Science (B.Sc) in Agriculture,,Bachelor of Science (B.Sc) in Agriculture,http://edusanjal.com/college/gokuleshwor-agriculture-and-animal-science-college,Private,,,,,
Butwal Public School,Cambridge University,"71-544794, 071-690220",,http://www.bps.edu.np/,Butwal       ,Rupandehi,Lumbini,Butwal  Rupandehi   Lumbini,"GCE A level- Science,GCE A level Non-Science",,"GCE A level- Science,GCE A level Non-Science",http://edusanjal.com/college/butwal-public-school,Private,,,,,
Universal Science College,Pokhara University,01-5260419,info@universalsc.edu.np,http://www.universalsc.edu.np/," -22, Chakupat       ",Lalitpur,Bagmati,"Lalitpur-22, Chakupat  Lalitpur   Bagmati","Bachelor of Civil Engineering ; 48;,Bachelor of Science (B.Sc) in Biochemistry ; 48;",,"Bachelor of Civil Engineering ; 48;,Bachelor of Science (B.Sc) in Biochemistry ; 48;",http://edusanjal.com/college/universal-science-college,Private,,,,,
Medhavi College,Pokhara University,01-4782634,medcol13@yahoo.com,http://www.medhavicollege.edu.np/,Shankhamul       ,Kathmandu,Bagmati,Shankhamul  Kathmandu   Bagmati,Bachelor of Business Administration (BBA) ; 48;,,Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/medhavi-college,Private,,,,,
Asian College of Higher Studies College of IT and Computer Science,Tribhuvan University,"4437318, 4436383",achs.nepal@gmail.com,,"Dhobidhara, Putalisadak       ",Kathmandu,Bagmati," Asian College of Higher Studies College of IT and Computer Science PO Box: 6721 Dhobidhara, Putalisadak Kathmandu-31, Nepal (Near Kumari QFX Cinema)",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/asian-college-higher-studies-college-it-and-computer-science,Private,,,,,
College of Engineering and Management,Pokhara University,081-526086,info@coem.edu.np,http://www.coem.edu.np/,"Khajura Road, Nepalgunj       ",Banke,Bheri,"Khajura Road, Nepalgunj  Banke   Bheri",Bachelor of Civil Engineering ; 48;,,Bachelor of Civil Engineering ; 48;,http://edusanjal.com/college/college-of-engineering-and-management,Private,,,,,
Rajdhani Model College,Pokhara University,"4471162, 4465705",info@rmccollege.edu.np,http://rmccollege.edu.np/,Old Baneshwor       ,Kathmandu,Bagmati,Old Baneshwor  Kathmandu   Bagmati,Bachelor of Business Administration (BBA) ; 48;,,Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/rajdhani-model-college,Private,,,,,
Shubhashree Academic International College,Pokhara University,"01-4479850, 4460397",shubhashree1@yahoo.com,,"Gairigaun, Tinkune       ",Kathmandu,Bagmati,"Gairigaun, Tinkune  Kathmandu   Bagmati",Bachelor of Business Administration (BBA),,Bachelor of Business Administration (BBA),http://edusanjal.com/college/shubhashree-academic-international-college,Private,,,,,
Naaya Aayam Multi-Disciplinary Institute (NAMI) College,"Cambridge University,University of Northampton (UK)",4917444,info@nami.edu.np,,Jorpati-5        ,Kathmandu,Bagmati,Jorpati-5   Kathmandu   Bagmati,"B.Sc.(Hons) Computing,B.Sc.(Hons) Environmental Science,GCE A level Non-Science,GCE A level- Science",,"B.Sc.(Hons) Computing,B.Sc.(Hons) Environmental Science,GCE A level Non-Science,GCE A level- Science",http://edusanjal.com/college/naaya-aayam-multi-disciplinary-institute-nami-college,Private,,,,,
Apollo International College,Pokhara University,01-4474845,info@apollointcollege.edu.np,http://www.apollointcollege.edu.np/,"Lakhechaur Marg,Baneshwor       ",Kathmandu,Bagmati,"Lakhechaur Marg,Baneshwor  Kathmandu   Bagmati","Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 48;",,"Bachelor of Business Administration (BBA) ; 96;,Bachelor of Business Administration in Banking and Insurance (BBA-BI) ; 48;",http://edusanjal.com/college/apollo-international-college,Private,,,,,
Yala Peak College of Business Management,Lincoln University College ,977-1-4112256/4112047,,http://yalapeakcollege.edu.np/,"Gairigaun, Sinamangal       ",Kathmandu,Bagmati,"Gairigaun, Sinamangal  Kathmandu   Bagmati",Master of Business Administration (MBA),,Master of Business Administration (MBA),http://edusanjal.com/college/yala-peak-college-business-management,Private,,,,,
Supernova College,Tribhuvan University,,,,"Damak,         ",Jhapa,Mechi,"Damak, Jhapa  Jhapa   Mechi",B.Sc. Computer Science And Information Technology (B.SC. CSIT),,B.Sc. Computer Science And Information Technology (B.SC. CSIT),http://edusanjal.com/college/supernova-college,Private,,,,,
Central College school of Management,Pokhara University,"4110646, 4492597",info@centralcollege.edu.np,http://centralcollege.edu.np/,Sinamangal-9       ,Kathmandu,Bagmati,Sinamangal-9  Kathmandu   Bagmati,Bachelor of Business Administration (BBA) ; 48;,,Bachelor of Business Administration (BBA) ; 48;,http://edusanjal.com/college/central-college-school-of-management,Private,,,,,
Hillside College of Engineering,Purbanchal University,977-1-4600992,,http://www.hillside.edu.np/,"Balkumari, Koteshwor       ",Lalitpur,Bagmati,"Balkumari, Koteshwor  Lalitpur   Bagmati","Bachelor of Electrical Engineering ; 48; ; 750000;,Bachelor of Civil Engineering ; 48; ; 750000;",,"Bachelor of Electrical Engineering ; 48; ; 750000;,Bachelor of Civil Engineering ; 48; ; 750000;",http://edusanjal.com/college/hillside-college-of-engineering,Private,,,,,
Angels Heart Higher Secondary School,HSEB,977-1-4027207,info@angels.edu.np,,Manamainju-2       ,Kathmandu,Bagmati,Manamainju-2  Kathmandu   Bagmati,Ten Plus Two Management,Ten Plus Two Management,,http://edusanjal.com/college/angels-heart-higher-secondary-school,Private,,,,,
